N,P,K,temperature,humidity,ph,rainfall,label
86.9,54.1,35.6,21.43,80.0,5.87,261.53,rice
95.0,48.0,44.1,21.08,80.74,5.97,251.52,rice
79.7,35.0,39.8,21.22,86.67,6.18,211.8,rice
74.9,40.9,39.8,25.17,82.54,6.25,224.09,rice
72.1,46.8,37.4,22.53,82.01,6.98,241.06,rice
73.0,48.8,39.7,23.11,86.54,6.38,224.08,rice
74.2,45.8,35.0,20.85,88.42,6.82,232.53,rice
85.8,49.4,45.0,25.46,84.68,5.52,191.81,rice
82.0,42.8,36.4,22.37,82.3,6.84,266.45,rice
79.9,56.7,40.2,21.99,88.81,6.27,208.88,rice
78.1,42.0,36.5,25.12,89.77,5.3,256.89,rice
73.5,44.5,38.5,21.99,85.12,5.58,248.11,rice
79.5,46.0,37.7,22.49,86.89,6.25,210.67,rice
81.0,52.2,35.8,24.45,83.34,6.29,217.1,rice
62.0,37.3,40.1,23.95,82.74,6.32,190.15,rice
79.3,39.9,38.4,23.58,82.85,5.81,270.19,rice
74.2,52.7,37.2,24.43,88.6,5.0,216.09,rice
85.8,46.2,40.9,22.44,85.22,5.92,275.03,rice
82.5,49.6,39.0,22.65,83.92,6.2,227.37,rice
82.9,60.0,42.2,22.93,88.0,5.8,180.0,rice
69.9,35.8,39.1,23.53,89.19,6.16,233.43,rice
88.3,35.0,40.6,24.85,81.3,6.57,250.15,rice
75.8,51.5,45.0,23.82,85.62,5.77,214.5,rice
88.3,42.1,40.2,22.66,86.2,6.17,271.13,rice
74.9,45.8,37.6,22.72,85.94,6.38,212.34,rice
88.7,56.0,41.0,26.78,83.07,5.38,186.64,rice
95.0,51.6,39.9,23.99,82.19,7.0,243.88,rice
81.1,52.0,41.2,23.89,83.02,6.24,296.46,rice
93.5,57.5,38.7,21.77,84.69,6.03,272.83,rice
63.1,57.1,39.6,22.75,82.47,5.17,264.7,rice
80.7,39.4,36.8,22.91,89.17,5.87,194.91,rice
77.5,45.8,35.0,23.4,84.42,6.35,295.47,rice
91.3,45.8,37.2,27.0,85.15,6.01,239.28,rice
82.0,46.6,38.6,22.54,84.92,5.73,218.61,rice
81.1,45.9,43.8,20.0,87.73,6.62,180.0,rice
76.6,45.2,36.5,22.14,82.22,6.88,268.07,rice
92.7,52.0,37.2,22.58,86.22,5.39,261.39,rice
77.6,45.2,41.8,24.28,84.1,6.58,207.57,rice
86.2,51.2,39.2,24.07,81.87,6.46,234.45,rice
74.8,54.1,18.2,19.33,56.66,6.48,68.99,maize
97.5,35.0,24.2,22.97,62.14,6.05,89.99,maize
79.6,54.4,20.3,22.84,61.14,6.23,88.85,maize
62.9,39.1,21.9,22.88,61.81,6.26,89.34,maize
74.6,42.6,20.5,20.3,64.03,5.61,97.86,maize
84.7,49.1,22.5,26.25,66.3,5.56,69.01,maize
73.8,47.7,21.3,20.87,63.2,5.97,77.36,maize
65.9,41.7,16.6,20.3,66.45,5.89,110.0,maize
84.9,48.7,17.9,24.08,60.34,6.3,110.0,maize
79.0,54.7,18.2,22.42,69.14,6.01,107.66,maize
87.1,44.0,21.6,24.69,64.83,5.66,75.91,maize
77.5,47.0,21.6,22.9,57.49,6.39,92.63,maize
85.6,54.3,22.1,23.53,62.24,5.63,90.37,maize
82.1,49.2,16.8,20.07,66.45,6.24,93.52,maize
80.3,47.7,22.3,21.34,62.86,6.08,79.57,maize
76.9,48.9,18.8,25.33,59.15,6.18,79.5,maize
94.5,48.7,22.6,19.16,63.5,6.58,86.03,maize
90.7,44.3,23.5,27.0,61.14,6.08,103.17,maize
95.8,44.2,18.9,21.87,57.46,5.91,72.45,maize
72.3,47.3,20.6,25.99,58.76,6.62,82.33,maize
79.5,51.7,17.2,23.36,63.12,6.43,88.61,maize
100.0,43.5,18.7,21.1,60.42,6.01,99.86,maize
94.2,43.9,17.9,23.56,60.43,6.49,87.54,maize
64.8,57.2,24.5,21.12,61.05,6.36,89.18,maize
86.6,60.0,19.6,20.7,57.33,5.98,84.59,maize
97.9,44.3,20.6,22.46,66.96,7.0,78.36,maize
75.1,54.0,21.7,26.66,64.69,6.12,92.38,maize
91.1,52.6,21.3,24.9,66.88,6.77,93.11,maize
78.3,48.4,23.0,20.66,63.88,6.1,85.36,maize
92.8,48.7,20.1,19.44,65.3,6.49,110.0,maize
76.9,48.9,20.6,26.05,62.14,6.35,92.6,maize
81.9,44.7,20.5,24.92,58.65,6.3,76.25,maize
92.0,38.0,18.6,23.35,68.37,6.23,78.06,maize
98.8,38.4,15.0,23.49,60.62,5.87,93.85,maize
82.4,44.0,16.8,24.46,64.94,6.21,108.08,maize
69.3,38.0,18.3,22.4,63.41,6.16,89.4,maize
67.5,56.5,19.8,25.01,63.79,6.42,92.12,maize
84.5,51.5,23.3,22.94,65.16,6.22,103.0,maize
73.2,58.8,19.9,19.28,62.98,5.99,95.51,maize
73.5,44.7,15.3,21.48,55.0,5.66,94.51,maize
87.9,50.2,17.6,22.39,62.49,5.82,103.79,maize
88.8,46.1,20.1,22.97,55.0,6.16,76.48,maize
70.0,45.7,24.5,23.94,60.36,6.46,102.49,maize
89.2,47.9,18.4,24.07,63.98,6.59,92.94,maize
90.5,44.2,23.3,22.94,70.0,5.99,106.7,maize
82.0,43.4,18.8,21.78,64.09,6.45,77.83,maize
79.8,60.0,24.3,23.48,62.64,6.3,92.67,maize
69.8,45.9,15.8,23.4,64.93,6.07,104.67,maize
67.7,38.3,20.6,24.86,68.81,6.08,98.48,maize
79.6,46.4,22.2,23.97,56.59,6.8,102.25,maize
73.7,50.0,21.2,23.09,60.44,6.0,84.68,maize
91.7,50.9,19.1,24.24,55.0,6.68,63.25,maize
76.4,40.5,16.8,25.11,60.75,6.38,84.41,maize
84.8,48.0,16.8,24.74,60.65,5.67,79.65,maize
95.0,52.8,19.1,21.71,61.29,7.0,89.77,maize
84.3,53.9,20.6,21.92,61.76,6.22,84.53,maize
87.3,47.8,21.8,22.32,62.79,5.5,96.45,maize
83.5,53.7,15.0,27.0,61.98,6.67,72.0,maize
86.1,40.9,18.4,26.81,61.78,6.33,95.88,maize
85.0,48.4,20.9,27.0,62.28,6.33,98.13,maize
91.1,54.9,21.6,19.93,68.63,5.82,88.78,maize
72.5,47.1,20.8,23.22,64.08,6.86,90.67,maize
77.6,53.5,23.0,19.74,64.74,6.51,81.28,maize
93.8,46.6,20.3,22.11,62.56,5.84,67.0,maize
95.9,42.2,17.5,18.0,60.1,5.75,105.53,maize
90.1,43.2,25.0,24.71,61.28,5.5,110.0,maize
66.1,37.2,22.6,27.0,67.69,6.46,92.43,maize
88.5,52.2,20.7,22.73,62.27,5.97,81.49,maize
63.1,46.9,17.5,20.02,63.17,6.77,96.48,maize
64.3,41.3,22.4,20.29,61.66,6.46,72.9,maize
81.1,39.2,18.5,23.22,56.53,6.42,84.75,maize
85.5,48.9,23.4,22.78,60.89,6.3,91.79,maize
80.5,47.8,18.2,21.01,57.24,6.91,69.45,maize
73.1,43.0,22.2,21.84,67.18,6.0,88.49,maize
71.6,60.0,17.0,23.2,64.88,6.41,82.68,maize
78.7,47.8,19.6,24.67,70.0,6.04,67.88,maize
79.1,60.0,18.0,26.19,68.79,6.04,92.11,maize
96.3,45.1,19.5,21.19,58.69,6.01,69.7,maize
80.3,42.7,20.6,19.0,63.74,6.56,60.08,maize
83.7,55.2,17.0,26.26,64.07,5.99,84.3,maize
85.6,48.0,21.3,20.43,63.14,5.72,83.61,maize
71.0,42.9,23.1,24.96,64.78,5.84,81.04,maize
92.1,48.4,25.0,23.38,63.22,6.13,86.67,maize
78.5,51.9,22.4,20.73,57.51,5.56,91.35,maize
69.0,35.0,21.0,27.0,62.48,6.56,86.02,maize
79.0,53.2,19.3,23.1,63.71,6.0,97.4,maize
78.3,42.8,21.3,20.48,62.61,6.25,98.57,maize
84.7,47.3,22.0,25.63,64.59,6.25,68.6,maize
69.3,45.6,18.5,22.08,62.71,6.45,84.12,maize
84.9,47.9,15.1,20.39,61.96,5.8,92.5,maize
95.3,55.1,19.5,25.85,63.06,6.12,77.33,maize
77.0,45.1,20.4,22.86,62.51,6.41,99.88,maize
89.5,38.2,15.0,24.6,57.37,6.17,70.37,maize
62.0,50.9,21.9,21.2,55.0,6.05,89.9,maize
65.2,48.6,20.0,23.8,62.95,5.89,99.96,maize
78.4,47.3,17.7,21.5,59.18,6.19,106.4,maize
66.3,37.4,23.7,22.03,59.99,6.64,77.43,maize
98.3,51.7,18.8,27.0,60.23,6.53,88.74,maize
93.0,57.3,20.1,20.8,64.22,6.0,110.0,maize
81.4,45.2,20.5,19.47,58.86,6.7,76.79,maize
29.5,70.9,83.0,19.72,18.75,6.59,69.34,chickpea
55.0,65.5,79.4,20.33,18.2,7.65,95.0,chickpea
33.6,73.3,80.1,19.27,19.41,7.69,84.04,chickpea
50.7,65.2,77.9,17.96,15.04,9.0,71.73,chickpea
37.8,65.8,80.8,19.82,18.58,6.74,78.75,chickpea
42.8,65.9,84.0,19.49,18.42,7.83,88.8,chickpea
41.8,59.4,81.0,18.35,16.84,7.76,89.29,chickpea
40.2,69.4,84.3,19.24,20.0,7.74,66.79,chickpea
47.5,69.9,83.2,19.67,17.33,6.18,78.43,chickpea
31.5,63.9,81.5,20.67,17.99,6.2,83.33,chickpea
52.0,63.7,79.7,19.01,16.52,7.82,79.09,chickpea
44.2,62.0,78.9,19.72,17.03,8.76,77.0,chickpea
42.2,73.3,76.5,17.24,15.59,8.35,75.86,chickpea
60.0,64.0,80.5,20.54,20.0,9.0,89.06,chickpea
50.2,71.2,81.9,18.45,16.48,7.25,78.72,chickpea
35.5,71.9,82.4,19.09,19.35,6.25,78.55,chickpea
32.8,55.8,79.8,18.88,19.39,7.8,72.32,chickpea
58.5,75.1,81.5,18.77,16.3,6.92,88.17,chickpea
58.8,77.1,78.8,17.88,17.68,5.7,82.42,chickpea
38.5,64.6,76.0,19.51,16.83,6.23,65.0,chickpea
39.7,78.6,84.2,18.54,16.75,7.66,72.51,chickpea
43.0,72.3,83.1,18.9,17.25,6.48,73.8,chickpea
37.7,69.8,82.3,18.2,19.37,7.01,79.84,chickpea
32.5,55.0,82.2,19.74,17.15,7.31,83.87,chickpea
24.4,64.2,82.0,17.75,17.87,6.06,83.5,chickpea
39.6,57.4,82.9,18.27,16.49,7.43,88.61,chickpea
29.8,67.9,81.1,19.69,17.72,6.93,73.79,chickpea
40.9,60.8,75.0,19.44,18.63,5.5,72.43,chickpea
46.2,80.0,80.1,18.27,17.27,8.45,75.16,chickpea
32.0,64.5,77.6,19.12,19.53,7.53,78.11,chickpea
37.1,57.7,82.2,18.92,17.27,9.0,82.24,chickpea
32.5,64.8,82.9,19.11,15.7,8.05,74.99,chickpea
58.7,74.3,78.9,20.28,17.58,8.0,83.64,chickpea
31.5,63.5,82.6,18.67,17.0,6.41,83.18,chickpea
60.0,60.8,80.1,20.41,17.4,7.65,72.03,chickpea
44.3,66.3,82.5,20.19,20.0,7.76,82.44,chickpea
41.9,65.3,80.8,18.7,17.71,8.4,72.45,chickpea
51.4,75.7,79.7,17.0,16.74,8.38,79.83,chickpea
30.0,64.3,82.1,19.55,17.2,6.93,77.06,chickpea
30.8,77.6,79.2,20.22,19.4,8.12,76.76,chickpea
44.0,67.3,77.7,19.32,16.03,8.29,76.52,chickpea
42.0,69.3,79.4,19.59,16.91,8.01,69.91,chickpea
41.3,79.6,77.5,18.32,18.14,7.41,82.63,chickpea
44.9,71.5,82.8,19.41,17.2,7.84,94.25,chickpea
38.7,61.4,82.8,18.88,15.0,7.99,75.99,chickpea
39.1,69.6,80.5,19.71,16.96,7.7,78.05,chickpea
47.4,71.3,77.7,20.09,16.83,7.96,82.75,chickpea
58.4,66.1,79.1,18.98,17.12,7.95,67.88,chickpea
29.5,60.8,82.4,20.71,17.37,7.1,80.53,chickpea
51.6,61.7,80.6,19.98,18.13,7.42,87.51,chickpea
20.0,71.7,78.4,17.17,18.14,8.45,78.97,chickpea
49.5,77.6,83.3,20.64,18.43,7.32,67.99,chickpea
37.5,62.2,85.0,18.82,17.65,7.73,80.33,chickpea
57.0,63.6,80.5,18.26,15.85,6.71,79.72,chickpea
35.7,63.2,76.5,18.92,15.62,7.92,80.62,chickpea
25.4,65.6,78.1,19.32,19.18,5.61,80.86,chickpea
38.4,71.7,80.5,18.25,17.1,6.55,88.07,chickpea
40.2,79.4,79.8,18.29,15.61,5.67,68.12,chickpea
42.7,70.7,76.0,19.9,16.9,7.38,92.09,chickpea
49.0,65.8,77.8,17.0,16.6,7.07,72.6,chickpea
38.7,68.0,79.4,18.35,17.71,7.64,71.82,chickpea
54.1,66.9,80.0,19.71,17.79,8.08,82.15,chickpea
33.9,69.8,77.1,19.11,17.46,7.07,79.04,chickpea
21.2,64.1,80.2,19.16,16.22,8.36,73.5,chickpea
49.7,70.2,78.4,20.78,16.01,8.05,87.5,chickpea
33.3,76.2,79.4,19.29,17.83,7.13,86.08,chickpea
47.9,56.6,83.3,17.34,18.79,8.24,71.82,chickpea
35.9,60.6,79.5,18.69,18.47,8.4,90.47,chickpea
34.4,66.2,75.8,18.19,18.71,8.66,70.74,chickpea
34.1,67.3,80.7,18.19,18.03,6.84,79.89,chickpea
45.5,67.5,78.9,18.89,17.39,6.93,78.06,chickpea
56.0,71.0,79.3,19.7,17.08,8.28,82.77,chickpea
38.9,70.3,76.1,17.87,16.01,7.38,92.99,chickpea
60.0,71.5,81.3,17.2,16.82,6.56,75.34,chickpea
38.3,64.5,75.1,19.75,16.16,7.46,95.0,chickpea
30.8,55.0,79.3,20.1,19.95,6.17,83.73,chickpea
35.3,66.8,85.0,17.5,17.82,7.66,88.14,chickpea
41.0,69.4,79.0,19.27,17.07,7.79,77.23,chickpea
43.8,67.3,82.8,18.95,15.28,8.35,73.21,chickpea
33.5,63.8,83.4,17.0,20.0,8.17,81.67,chickpea
39.5,69.3,81.3,19.65,18.19,7.33,78.52,chickpea
38.5,66.3,82.8,19.59,15.0,7.82,81.46,chickpea
39.8,65.1,82.8,19.95,16.53,7.61,72.71,chickpea
26.2,63.6,82.2,19.95,18.14,7.88,83.87,chickpea
33.6,70.2,82.0,19.75,18.99,7.87,82.64,chickpea
50.7,67.3,77.8,18.84,16.57,6.66,78.92,chickpea
32.1,65.6,75.3,19.21,17.5,6.54,84.94,chickpea
49.4,57.5,78.1,18.23,16.33,7.98,78.55,chickpea
37.4,55.0,81.6,17.76,17.57,7.49,90.2,chickpea
26.9,55.0,80.5,20.8,19.05,7.43,76.31,chickpea
48.1,61.4,81.2,19.51,18.83,9.0,82.94,chickpea
34.9,67.3,75.6,18.31,16.99,6.79,81.14,chickpea
31.8,74.5,80.0,18.99,17.09,7.39,86.19,chickpea
31.3,63.4,79.2,17.65,16.48,6.83,86.56,chickpea
42.6,68.7,82.1,18.86,17.99,7.16,81.99,chickpea
34.2,55.0,79.7,20.42,18.66,8.09,89.27,chickpea
40.9,68.7,78.5,18.68,18.27,8.3,78.95,chickpea
35.5,67.5,81.5,17.56,15.0,6.77,70.84,chickpea
34.9,66.6,78.9,20.45,17.91,7.51,84.67,chickpea
28.6,74.0,79.8,19.67,16.16,5.89,86.13,chickpea
23.8,61.9,17.8,22.81,19.42,5.96,84.74,kidneybeans
26.4,65.4,21.5,18.64,21.22,5.76,82.45,kidneybeans
27.4,64.3,19.4,17.51,18.0,5.73,150.0,kidneybeans
27.8,67.4,19.3,20.06,22.46,5.6,130.07,kidneybeans
27.2,72.0,21.1,20.05,22.68,5.82,97.03,kidneybeans
14.3,68.1,23.9,16.9,18.93,5.77,106.14,kidneybeans
21.7,69.0,19.4,23.72,18.7,5.65,102.68,kidneybeans
3.6,66.4,24.2,20.05,21.9,5.59,91.13,kidneybeans
16.2,65.5,23.2,21.39,19.55,5.78,116.21,kidneybeans
31.4,77.4,17.5,17.97,19.3,5.72,115.49,kidneybeans
29.9,67.0,19.2,20.38,20.04,6.0,68.83,kidneybeans
21.8,80.0,20.0,19.52,20.87,5.73,135.89,kidneybeans
0.0,77.1,16.4,19.33,20.75,5.82,69.04,kidneybeans
24.6,80.0,16.6,20.47,20.34,5.8,105.43,kidneybeans
13.6,70.5,24.5,19.52,22.76,5.59,83.48,kidneybeans
24.7,76.8,20.9,19.22,21.5,5.59,118.6,kidneybeans
28.8,64.7,18.8,20.66,20.74,5.74,150.0,kidneybeans
17.5,65.3,18.4,21.86,21.18,5.67,134.73,kidneybeans
34.2,63.7,15.3,22.52,20.3,5.85,60.67,kidneybeans
28.9,59.9,21.8,20.04,19.83,5.7,120.44,kidneybeans
21.1,71.2,24.9,16.09,24.33,5.76,84.78,kidneybeans
6.7,66.3,22.3,19.68,24.14,5.57,104.73,kidneybeans
7.5,69.8,22.2,18.95,18.0,5.77,114.83,kidneybeans
24.0,75.2,17.3,21.7,23.59,5.53,112.19,kidneybeans
15.0,67.0,20.9,18.78,20.32,5.75,80.54,kidneybeans
9.1,71.7,17.1,21.67,22.31,5.53,89.75,kidneybeans
31.9,61.4,18.8,21.16,22.87,5.72,91.56,kidneybeans
34.2,78.4,22.4,20.21,20.09,5.65,116.76,kidneybeans
24.2,76.3,21.6,16.24,23.34,5.63,96.36,kidneybeans
22.5,80.0,25.0,21.52,21.18,5.82,124.97,kidneybeans
16.8,78.7,20.6,21.24,22.67,5.8,123.88,kidneybeans
13.8,64.0,17.2,21.1,22.86,5.81,142.68,kidneybeans
19.9,71.7,17.3,19.03,22.72,5.86,98.39,kidneybeans
19.3,58.0,19.1,22.23,22.51,5.81,106.12,kidneybeans
20.1,63.4,21.7,21.05,22.36,5.68,60.0,kidneybeans
31.0,64.5,17.8,21.73,20.81,5.88,118.88,kidneybeans
26.8,59.0,23.0,20.65,20.85,5.77,65.03,kidneybeans
24.1,61.1,16.6,16.19,23.45,5.67,139.51,kidneybeans
14.6,56.8,17.2,23.09,21.23,5.68,108.6,kidneybeans
25.0,74.5,23.6,19.1,19.18,5.7,110.86,kidneybeans
10.4,61.5,20.9,19.88,21.56,5.66,99.82,kidneybeans
10.8,73.1,22.6,15.38,19.87,5.56,90.37,kidneybeans
19.2,58.4,17.7,17.49,21.86,5.76,88.76,kidneybeans
21.8,64.1,19.3,24.18,23.85,5.59,123.67,kidneybeans
28.1,60.3,22.0,23.84,19.54,5.64,127.9,kidneybeans
22.7,70.9,20.9,20.98,19.18,5.88,131.32,kidneybeans
17.7,67.2,16.2,21.29,22.5,5.74,130.3,kidneybeans
16.7,71.0,17.5,19.94,21.19,5.78,96.69,kidneybeans
18.7,72.7,18.9,15.98,24.56,5.92,75.92,kidneybeans
26.9,64.4,20.7,20.74,21.09,5.65,89.46,kidneybeans
10.8,62.3,19.8,18.21,22.69,5.94,91.95,kidneybeans
22.4,70.6,21.2,20.19,22.8,5.81,77.15,kidneybeans
28.7,73.0,18.1,20.09,22.7,5.72,129.14,kidneybeans
40.0,62.6,16.5,20.76,22.76,5.72,137.7,kidneybeans
6.6,71.8,18.5,24.3,24.99,5.65,92.63,kidneybeans
28.6,65.1,19.9,20.06,18.14,5.75,89.48,kidneybeans
15.1,76.5,16.9,22.03,21.01,5.72,122.78,kidneybeans
23.4,71.1,22.4,19.17,20.43,5.61,86.43,kidneybeans
40.0,75.3,16.6,16.69,22.34,5.82,117.35,kidneybeans
17.5,66.7,20.8,20.21,18.0,5.72,85.84,kidneybeans
21.8,80.0,20.9,19.22,23.11,5.81,114.45,kidneybeans
26.1,80.0,17.2,21.18,19.88,5.82,84.33,kidneybeans
15.8,65.7,22.4,22.3,19.32,5.76,89.03,kidneybeans
7.4,66.1,19.2,25.0,22.26,5.58,92.29,kidneybeans
30.2,80.0,16.0,15.3,24.77,5.8,85.46,kidneybeans
25.3,55.0,20.0,20.82,23.12,5.62,106.93,kidneybeans
10.7,69.1,17.8,18.98,19.76,5.83,124.32,kidneybeans
17.7,67.7,16.4,19.25,21.41,6.0,79.98,kidneybeans
34.6,73.7,20.7,24.4,22.15,5.8,103.8,kidneybeans
32.2,74.4,18.4,16.7,21.14,5.65,103.57,kidneybeans
32.4,64.6,19.9,20.15,22.98,5.5,91.35,kidneybeans
22.1,75.0,18.8,15.31,22.58,5.67,78.23,kidneybeans
13.8,66.3,18.5,15.0,23.07,5.91,119.66,kidneybeans
8.6,66.2,20.0,21.5,22.67,5.66,106.84,kidneybeans
24.6,76.6,21.8,21.97,21.65,5.93,114.22,kidneybeans
11.4,76.3,21.7,18.89,20.66,5.79,115.42,kidneybeans
22.0,69.4,24.2,22.68,21.83,5.87,81.77,kidneybeans
24.0,78.8,19.5,17.88,20.36,5.61,87.34,kidneybeans
16.3,58.7,20.0,22.26,19.91,5.94,116.49,kidneybeans
30.3,63.4,22.1,17.27,23.06,5.77,117.45,kidneybeans
8.2,61.9,21.5,17.63,22.31,5.58,124.08,kidneybeans
7.7,71.0,21.6,18.26,22.52,5.78,92.88,kidneybeans
9.9,55.2,20.9,16.09,21.67,5.72,120.28,kidneybeans
17.0,65.4,21.8,20.84,22.05,5.81,70.45,kidneybeans
27.6,71.3,17.5,19.39,21.43,5.73,112.51,kidneybeans
34.3,74.3,16.7,21.56,23.83,5.8,129.55,kidneybeans
40.0,73.9,20.6,22.61,21.75,5.75,97.09,kidneybeans
35.6,62.4,23.8,21.25,19.05,5.8,60.0,kidneybeans
26.3,73.0,18.5,20.31,24.92,5.69,81.17,kidneybeans
34.8,79.8,20.0,22.53,23.85,5.66,94.08,kidneybeans
32.3,78.0,21.4,17.8,24.98,5.68,97.46,kidneybeans
23.4,77.2,22.1,21.04,22.31,5.76,117.56,kidneybeans
0.0,65.6,20.6,17.12,22.18,5.72,144.5,kidneybeans
35.7,64.6,19.6,19.82,20.71,5.77,87.94,kidneybeans
8.7,71.4,21.6,17.99,23.07,5.67,110.7,kidneybeans
28.2,67.3,21.1,18.71,21.16,5.72,88.2,kidneybeans
18.2,57.8,18.8,19.29,21.05,5.72,103.61,kidneybeans
24.8,73.0,18.4,16.99,19.68,5.69,97.08,kidneybeans
12.3,59.4,18.9,20.45,22.54,5.68,95.71,kidneybeans
10.7,67.3,17.9,21.43,18.37,5.71,111.77,kidneybeans
21.8,80.0,20.9,22.73,49.05,4.67,142.78,pigeonpeas
11.7,73.2,18.6,26.95,43.64,7.3,136.17,pigeonpeas
38.3,72.6,21.2,29.25,53.94,4.55,137.33,pigeonpeas
28.5,67.2,16.5,27.25,67.04,6.94,143.29,pigeonpeas
29.5,65.2,15.7,23.11,65.63,5.79,138.31,pigeonpeas
17.0,79.4,24.1,37.0,48.41,6.22,103.29,pigeonpeas
34.8,60.2,20.5,22.29,44.11,5.37,128.28,pigeonpeas
14.6,64.1,22.1,22.25,52.21,6.91,130.89,pigeonpeas
12.8,66.1,22.9,28.42,44.69,6.36,114.69,pigeonpeas
26.8,70.1,19.2,23.52,41.13,6.4,178.8,pigeonpeas
13.6,70.4,15.0,24.72,49.69,5.32,119.25,pigeonpeas
13.3,69.3,19.5,18.0,30.0,5.54,157.59,pigeonpeas
0.0,64.4,18.7,34.09,46.15,6.29,148.88,pigeonpeas
0.0,72.3,20.5,29.91,70.0,4.5,192.43,pigeonpeas
17.1,69.3,19.9,25.48,44.3,6.25,103.28,pigeonpeas
27.5,64.9,17.2,25.36,62.57,5.6,154.86,pigeonpeas
12.7,72.2,21.7,36.28,48.24,6.5,147.7,pigeonpeas
33.0,63.0,21.9,26.58,49.36,6.07,151.94,pigeonpeas
18.8,68.8,23.9,32.18,58.69,5.66,120.55,pigeonpeas
29.6,73.0,23.7,24.63,47.7,4.77,134.21,pigeonpeas
30.0,64.6,21.6,26.6,53.24,5.14,147.34,pigeonpeas
0.0,66.3,15.9,33.23,57.77,6.35,186.83,pigeonpeas
10.5,78.4,22.3,26.38,61.36,5.17,122.33,pigeonpeas
13.9,64.2,17.4,33.31,47.41,6.26,129.32,pigeonpeas
1.8,69.2,15.2,27.17,36.32,7.49,170.06,pigeonpeas
21.1,75.4,17.9,30.08,52.0,6.2,179.99,pigeonpeas
